model,metric,mean,std
LightGBM,accuracy,0.72941,0.0030623520372419356
LightGBM,brier,0.1805534034889113,0.0008525630923398043
LightGBM,f1,0.7694829702449997,0.003375956339136015
LightGBM,pr_auc,0.843576655745778,0.0022253679726875184
LightGBM,precision,0.7876229504936441,0.002325922696193371
LightGBM,recall,0.7521858606045466,0.006408342129509527
LightGBM,roc_auc,0.8001094046607247,0.001683050039842283
LightGBM,specificity,0.6951820798398198,0.005297018822648638
LinearSVC,accuracy,0.72592,0.0019998749960934903
LinearSVC,brier,0.18231012286229947,0.00023443930075056957
LinearSVC,f1,0.7866155632616343,0.0013715195273226427
LinearSVC,pr_auc,0.8310823897680792,0.002021648418449656
LinearSVC,precision,0.7385858541676011,0.0023077736778348125
LinearSVC,recall,0.8413356649179782,0.0025398300991854124
LinearSVC,roc_auc,0.7830932571647058,0.0012662541113158223
LinearSVC,specificity,0.5524715304717808,0.005967785390410309
LogisticRegression,accuracy,0.71387,0.0021326626549925416
LogisticRegression,brier,0.18839630704312418,0.0005787617121234675
LogisticRegression,f1,0.7543160300099537,0.0019207208215865062
LogisticRegression,pr_auc,0.8312702366562483,0.001978020560928905
LogisticRegression,precision,0.7785652722528373,0.001984363235790569
LogisticRegression,recall,0.7315346823215921,0.0024897853922434864
LogisticRegression,roc_auc,0.7833831327793105,0.0013095982224215427
LogisticRegression,specificity,0.6873232386434739,0.0032759648648025335
RandomForest,accuracy,0.72744,0.0018132843130629125
RandomForest,brier,0.18444544474225472,0.0007317473324900548
RandomForest,f1,0.7680774034498572,0.0023024685373040717
RandomForest,pr_auc,0.8402887895899035,0.00270678830572893
RandomForest,precision,0.7852413316750824,0.0031436140628733366
RandomForest,recall,0.7516862353235074,0.006114317123146845
RandomForest,roc_auc,0.7959083580152662,0.0015934631553318928
RandomForest,specificity,0.6910023776748841,0.007824251726442487
XGBoost,accuracy,0.73924,0.0012944110629934916
XGBoost,brier,0.17580605745315553,0.0002420963285158517
XGBoost,f1,0.7947419497023279,0.0013587009919048556
XGBoost,pr_auc,0.843048964868515,0.0016579630098469986
XGBoost,precision,0.7535248822869632,0.002281280782078931
XGBoost,recall,0.8407527687567657,0.004704104612772386
XGBoost,roc_auc,0.7990207038126486,0.0010382870882907733
XGBoost,specificity,0.5866850206482292,0.007040434263862216
